config_name,llm_model,embedding_model,prompt_template,chunking_strategy,chunk_size,chunk_overlap,num_chunks,num_questions,avg_ttft_seconds,avg_tokens_per_second,avg_gpu_utilization_pct,avg_gpu_memory_used_mb,ragas_faithfulness,ragas_answer_relevancy,ragas_answer_correctness,ragas_context_precision,ragas_context_recall,total_time_seconds,custom_hit@1,custom_ndcg@1,custom_recall@1,custom_hit@3,custom_ndcg@3,custom_recall@3,custom_hit@5,custom_ndcg@5,custom_recall@5,custom_context_relevance,custom_vec_dist_q_gt,custom_vec_dist_q_answer,custom_rouge_l,custom_bleu,custom_meteor,custom_bert_score_precision,custom_bert_score_recall,custom_bert_score_f1,ttft_std,ttft_min,ttft_max,ttft_median,tps_std,tps_min,tps_max,tps_median,gpu_util_std,gpu_util_min,gpu_util_max,gpu_util_median,gpu_mem_std,gpu_mem_min,gpu_mem_max,gpu_mem_median,faithfulness_std,faithfulness_min,faithfulness_max,faithfulness_median
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,concise,recursive,1000,200,113,100,0.7079914405599811,0.0,0.26,639.0,0.8466666666666667,,,,,877.5947116309999,0.7,0.7,0.38666666666666666,0.82,0.7718160709592459,0.82,0.82,0.7718160709592459,0.82,0.6445541877936605,0.47378267106631694,0.3673571472423422,0.5921429398529391,0.06946339467375748,0.5828179751210237,0.8519222259521484,0.8604165291786194,0.8561219613851234,0.15071481027595326,0.42612789800023165,1.1857309899996835,0.671007382499738,0.0,0,0,0.0,0.8362977576162329,0.0,3.0,0.0,0.0,639.0,639.0,639.0,0.35190678288203514,0.0,1.0,1.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_detailed_mmr-l0.5,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,detailed,recursive,1000,200,113,100,1.1130395267999575,0.0,2.6,639.0,0.8740845004668535,,,,,1297.208658378,0.7,0.7,0.38666666666666666,0.82,0.7718160709592459,0.82,0.82,0.7718160709592459,0.82,0.6445541877936605,0.47378267106631694,0.15618022167883092,0.21172324436444243,0.029540851010970814,0.3971563884560096,0.8810327345132828,0.9031659030914306,0.8919265772060777,0.42665016635864306,0.5873026079998453,3.4619231019996732,0.9964796000003844,0.0,0,0,0.0,10.201010051000148,0.0,66.0,0.0,0.0,639.0,639.0,639.0,0.27512167315673197,0.0,1.0,1.0
recursive_cs500_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,concise,recursive,500,200,238,100,0.6954111302900128,0.0,4.23,639.0,0.8666666666666667,,,,,904.8711741199995,0.72,0.72,0.3516666666666666,0.85,0.7931574936364405,0.85,0.85,0.7931574936364405,0.85,0.6783965569797819,0.47378267106631694,0.36894111302039756,0.5922497243680442,0.07569801961166936,0.5614724233270849,0.871695162653923,0.8797800552845001,0.875689867652244,0.1716810445688153,0.38843263600028877,1.218269728999985,0.6901722510001491,0.0,0,0,0.0,10.762688072477737,0.0,40.0,0.0,0.0,639.0,639.0,639.0,0.32307445639837323,0.0,1.0,1.0
recursive_cs500_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_detailed_mmr-l0.5,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,detailed,recursive,500,200,238,100,0.9562999322399719,0.0,5.3,639.0,0.8630246697746697,,,,,1176.3119810169992,0.72,0.72,0.3516666666666666,0.85,0.7931574936364405,0.85,0.85,0.7931574936364405,0.85,0.6783965569797819,0.47378267106631694,0.15197961600612334,0.2216704904153899,0.03271667681447699,0.3994931344640509,0.862868019938469,0.883446729183197,0.8729920928915955,0.30106285451938314,0.51226780900015,1.7215937540004234,0.8356080410003415,0.0,0,0,0.0,17.342946052438087,0.0,100.0,0.0,0.0,639.0,639.0,639.0,0.295401754329257,0.0,1.0,1.0
