config_name,llm_model,embedding_model,chunking_strategy,chunk_size,chunk_overlap,num_chunks,num_questions,avg_ttft_seconds,avg_tokens_per_second,avg_gpu_utilization_pct,avg_gpu_memory_used_mb,ragas_faithfulness,ragas_answer_relevancy,ragas_context_precision,ragas_context_recall,total_time_seconds,ttft_std,ttft_min,ttft_max,ttft_median,tps_std,tps_min,tps_max,tps_median,gpu_util_std,gpu_util_min,gpu_util_max,gpu_util_median,gpu_mem_std,gpu_mem_min,gpu_mem_max,gpu_mem_median,faithfulness_std,faithfulness_min,faithfulness_max,faithfulness_median,answer_relevancy_std,answer_relevancy_min,answer_relevancy_max,answer_relevancy_median,context_precision_std,context_precision_min,context_precision_max,context_precision_median,context_recall_std,context_recall_min,context_recall_max,context_recall_median
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,recursive,1000,100,6,1,6.719180279999819,58.935760538934474,0.0,631.0,0.5,0.9688319340682092,0.9999999999,1.0,83.5127255870002,0.0,6.719180279999819,6.719180279999819,6.719180279999819,0.0,58.935760538934474,58.935760538934474,58.935760538934474,0.0,0.0,0.0,0.0,0.0,631.0,631.0,631.0,0.0,0.5,0.5,0.5,0.0,0.9688319340682092,0.9688319340682092,0.9688319340682092,0.0,0.9999999999,0.9999999999,0.9999999999,0.0,1.0,1.0,1.0
recursive_cs1000_co50_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,recursive,1000,50,6,1,8.430096914000387,60.85339293644761,0.0,631.0,1.0,0.9688319340682092,0.9999999999,1.0,95.18850537700018,0.0,8.430096914000387,8.430096914000387,8.430096914000387,0.0,60.85339293644761,60.85339293644761,60.85339293644761,0.0,0.0,0.0,0.0,0.0,631.0,631.0,631.0,0.0,1.0,1.0,1.0,0.0,0.9688319340682092,0.9688319340682092,0.9688319340682092,0.0,0.9999999999,0.9999999999,0.9999999999,0.0,1.0,1.0,1.0
recursive_cs1000_co25_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,recursive,1000,25,6,1,7.347108245000527,60.84026328374422,0.0,631.0,1.0,0.9688319340682092,0.9999999999,1.0,73.99962310800038,0.0,7.347108245000527,7.347108245000527,7.347108245000527,0.0,60.84026328374422,60.84026328374422,60.84026328374422,0.0,0.0,0.0,0.0,0.0,631.0,631.0,631.0,0.0,1.0,1.0,1.0,0.0,0.9688319340682092,0.9688319340682092,0.9688319340682092,0.0,0.9999999999,0.9999999999,0.9999999999,0.0,1.0,1.0,1.0
recursive_cs500_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,recursive,500,100,14,1,6.050722633000078,58.670678120967416,0.0,631.0,1.0,0.9688319340682092,0.9999999999,1.0,87.05893828999979,0.0,6.050722633000078,6.050722633000078,6.050722633000078,0.0,58.670678120967416,58.670678120967416,58.670678120967416,0.0,0.0,0.0,0.0,0.0,631.0,631.0,631.0,0.0,1.0,1.0,1.0,0.0,0.9688319340682092,0.9688319340682092,0.9688319340682092,0.0,0.9999999999,0.9999999999,0.9999999999,0.0,1.0,1.0,1.0
recursive_cs500_co50_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,recursive,500,50,14,1,5.954048734000025,59.6232943094346,0.0,631.0,1.0,0.9688319340682092,0.9999999999,1.0,95.2715378490002,0.0,5.954048734000025,5.954048734000025,5.954048734000025,0.0,59.6232943094346,59.6232943094346,59.6232943094346,0.0,0.0,0.0,0.0,0.0,631.0,631.0,631.0,0.0,1.0,1.0,1.0,0.0,0.9688319340682092,0.9688319340682092,0.9688319340682092,0.0,0.9999999999,0.9999999999,0.9999999999,0.0,1.0,1.0,1.0
recursive_cs500_co25_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,recursive,500,25,14,1,5.9132988170003955,60.0341722930347,0.0,631.0,1.0,0.9688319340682092,0.9999999999,1.0,54.9898518659993,0.0,5.9132988170003955,5.9132988170003955,5.9132988170003955,0.0,60.0341722930347,60.0341722930347,60.0341722930347,0.0,0.0,0.0,0.0,0.0,631.0,631.0,631.0,0.0,1.0,1.0,1.0,0.0,0.9688319340682092,0.9688319340682092,0.9688319340682092,0.0,0.9999999999,0.9999999999,0.9999999999,0.0,1.0,1.0,1.0
recursive_cs200_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,recursive,200,100,39,1,5.354182825999487,59.95312644933405,0.0,631.0,0.0,0.9688319340682092,0.49999999995,1.0,90.4997693739997,0.0,5.354182825999487,5.354182825999487,5.354182825999487,0.0,59.95312644933405,59.95312644933405,59.95312644933405,0.0,0.0,0.0,0.0,0.0,631.0,631.0,631.0,0.0,0.0,0.0,0.0,0.0,0.9688319340682092,0.9688319340682092,0.9688319340682092,0.0,0.49999999995,0.49999999995,0.49999999995,0.0,1.0,1.0,1.0
recursive_cs200_co50_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,recursive,200,50,35,1,4.567188805999649,58.89837522079893,0.0,631.0,0.0,0.9688319340682092,0.49999999995,1.0,81.9714270279992,0.0,4.567188805999649,4.567188805999649,4.567188805999649,0.0,58.89837522079893,58.89837522079893,58.89837522079893,0.0,0.0,0.0,0.0,0.0,631.0,631.0,631.0,0.0,0.0,0.0,0.0,0.0,0.9688319340682092,0.9688319340682092,0.9688319340682092,0.0,0.49999999995,0.49999999995,0.49999999995,0.0,1.0,1.0,1.0
recursive_cs200_co25_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,recursive,200,25,33,1,4.4104239999996935,57.5908348040954,0.0,631.0,0.0,0.9688319340682092,0.49999999995,1.0,52.7171084620004,0.0,4.4104239999996935,4.4104239999996935,4.4104239999996935,0.0,57.5908348040954,57.5908348040954,57.5908348040954,0.0,0.0,0.0,0.0,0.0,631.0,631.0,631.0,0.0,0.0,0.0,0.0,0.0,0.9688319340682092,0.9688319340682092,0.9688319340682092,0.0,0.49999999995,0.49999999995,0.49999999995,0.0,1.0,1.0,1.0
