config_name,llm_model,embedding_model,prompt_template,chunking_strategy,chunk_size,chunk_overlap,num_chunks,num_questions,avg_ttft_seconds,avg_tokens_per_second,avg_gpu_utilization_pct,avg_gpu_memory_used_mb,ragas_faithfulness,ragas_answer_relevancy,ragas_answer_correctness,ragas_context_precision,ragas_context_recall,total_time_seconds,custom_hit@1,custom_ndcg@1,custom_recall@1,custom_hit@3,custom_ndcg@3,custom_recall@3,custom_hit@5,custom_ndcg@5,custom_recall@5,custom_context_relevance,custom_vec_dist_q_gt,custom_vec_dist_q_answer,custom_rouge_l,custom_bleu,custom_meteor,custom_bert_score_precision,custom_bert_score_recall,custom_bert_score_f1,ttft_std,ttft_min,ttft_max,ttft_median,tps_std,tps_min,tps_max,tps_median,gpu_util_std,gpu_util_min,gpu_util_max,gpu_util_median,gpu_mem_std,gpu_mem_min,gpu_mem_max,gpu_mem_median,faithfulness_std,faithfulness_min,faithfulness_max,faithfulness_median
semantic_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,concise,semantic,1000,100,190,100,0.6551598023900442,0.0,0.32,639.0,0.7991666666666667,,,,,822.0350144999993,0.74,0.74,0.41,0.86,0.8090196502797568,0.86,0.86,0.8090196502797568,0.86,0.6703937398486549,0.47378267106631694,0.36248905208711674,0.5708200583765025,0.06744623751214177,0.5649419432839146,0.8616455465555191,0.8699672728776932,0.8657616591712481,0.17995569178988177,0.3305544619997818,1.1735482180010877,0.6502501294999092,0.0,0,0,0.0,0.919815528277603,0.0,3.0,0.0,0.0,639.0,639.0,639.0,0.39427991304611226,0.0,1.0,1.0
semantic_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_detailed_mmr-l0.5,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,detailed,semantic,1000,100,190,100,0.961300761869934,0.0,0.09,639.0,0.8677049062049061,,,,,1204.216689801,0.74,0.74,0.41,0.86,0.8090196502797568,0.86,0.86,0.8090196502797568,0.86,0.6703937398486549,0.47378267106631694,0.15168558123626621,0.21872466944642388,0.02773603689808124,0.40990493887542523,0.9101055479049682,0.9327922993898392,0.9212636095674143,0.342249444885769,0.484813672999735,1.7062611660003313,0.8595998059990961,0.0,0,0,0.0,0.5143398239932958,0.0,3.0,0.0,0.0,639.0,639.0,639.0,0.26383946542299286,0.0,1.0,1.0
semantic_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,concise,semantic,1000,200,190,100,0.7114650888699907,0.0,0.33,641.0,0.8291666666666667,,,,,832.6543352030003,0.74,0.74,0.41,0.86,0.8090196502797568,0.86,0.86,0.8090196502797568,0.86,0.6703937398486549,0.47378267106631694,0.36248905208711674,0.5708200583765025,0.06744623751214177,0.5649419432839146,0.8616455465555191,0.8699672728776932,0.8657616591712481,0.2038455719021976,0.43036580300031346,1.5629554630013445,0.6883011480003915,0.0,0,0,0.0,0.9433981132056604,0.0,3.0,0.0,0.0,641.0,641.0,641.0,0.36934569957053215,0.0,1.0,1.0
semantic_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_detailed_mmr-l0.5,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,detailed,semantic,1000,200,190,100,1.0110031768500085,0.0,0.63,639.0,0.8655912698412699,,,,,1213.1104158500002,0.74,0.74,0.41,0.86,0.8090196502797568,0.86,0.86,0.8090196502797568,0.86,0.6703937398486549,0.47378267106631694,0.15168558123626621,0.21872466944642388,0.02773603689808124,0.40990493887542523,0.9101055479049682,0.9327922993898392,0.9212636095674143,0.37339421961726404,0.5490808859995013,2.2086921100017207,0.865165837000859,0.0,0,0,0.0,5.415382132071904,0.0,54.0,0.0,0.0,639.0,639.0,639.0,0.2636867056119671,0.0,1.0,1.0
semantic_cs500_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,concise,semantic,500,100,190,100,0.7361861192299876,0.0,0.39,639.0,0.8191666666666667,,,,,847.854944617,0.74,0.74,0.41,0.86,0.8090196502797568,0.86,0.86,0.8090196502797568,0.86,0.6703937398486549,0.47378267106631694,0.36248905208711674,0.5708200583765025,0.06744623751214177,0.5649419432839146,0.8616455465555191,0.8699672728776932,0.8657616591712481,0.22777320969177775,0.4146195399989665,1.8071878810005728,0.6665069784994557,0.0,0,0,0.0,1.262473122026122,0.0,9.0,0.0,0.0,639.0,639.0,639.0,0.3781072167257157,0.0,1.0,1.0
semantic_cs500_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_detailed_mmr-l0.5,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,detailed,semantic,500,100,190,100,1.0831157069299844,0.0,0.29,639.0,0.8653477633477634,,,,,1235.843402646,0.74,0.74,0.41,0.86,0.8090196502797568,0.86,0.86,0.8090196502797568,0.86,0.6703937398486549,0.47378267106631694,0.15168558123626621,0.21872466944642388,0.02773603689808124,0.40990493887542523,0.9101055479049682,0.9327922993898392,0.9212636095674143,0.4076251318513316,0.4632508989998314,2.809340694000639,0.9634429265006474,0.0,0,0,0.0,1.0852081678999508,0.0,8.0,0.0,0.0,639.0,639.0,639.0,0.2655559147439835,0.0,1.0,1.0
semantic_cs500_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,concise,semantic,500,200,190,100,0.6976758599001005,0.0,0.21,639.0,0.8091666666666667,,,,,874.0768834840001,0.74,0.74,0.41,0.86,0.8090196502797568,0.86,0.86,0.8090196502797568,0.86,0.6703937398486549,0.47378267106631694,0.36248905208711674,0.5708200583765025,0.06744623751214177,0.5649419432839146,0.8616455465555191,0.8699672728776932,0.8657616591712481,0.20785257741454785,0.3638233700003184,1.4806212579987914,0.6618788595005753,0.0,0,0,0.0,0.7823172003862641,0.0,4.0,0.0,0.0,639.0,639.0,639.0,0.3864089397087866,0.0,1.0,1.0
semantic_cs500_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_detailed_mmr-l0.5,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,detailed,semantic,500,200,190,100,1.037926798929766,0.0,0.11,639.0,0.8463239538239539,,,,,1206.253733728001,0.74,0.74,0.41,0.86,0.8090196502797568,0.86,0.86,0.8090196502797568,0.86,0.6703937398486549,0.47378267106631694,0.15168558123626621,0.21872466944642388,0.02773603689808124,0.40990493887542523,0.9101055479049682,0.9327922993898392,0.9212636095674143,0.33704038675235193,0.62820564499998,1.886315466999804,0.8704844079984468,0.0,0,0,0.0,0.5485518124198396,0.0,3.0,0.0,0.0,639.0,639.0,639.0,0.28342703071604475,0.0,1.0,1.0
