config_name,llm_model,embedding_model,prompt_template,chunking_strategy,chunk_size,chunk_overlap,num_chunks,num_questions,avg_ttft_seconds,avg_tokens_per_second,avg_gpu_utilization_pct,avg_gpu_memory_used_mb,ragas_faithfulness,ragas_answer_relevancy,ragas_answer_correctness,ragas_context_precision,ragas_context_recall,total_time_seconds,custom_hit@1,custom_ndcg@1,custom_recall@1,custom_hit@3,custom_ndcg@3,custom_recall@3,custom_hit@5,custom_ndcg@5,custom_recall@5,custom_context_relevance,custom_vec_dist_q_gt,custom_vec_dist_q_answer,custom_rouge_l,custom_bleu,custom_meteor,custom_bert_score_precision,custom_bert_score_recall,custom_bert_score_f1,ttft_std,ttft_min,ttft_max,ttft_median,tps_std,tps_min,tps_max,tps_median,gpu_util_std,gpu_util_min,gpu_util_max,gpu_util_median,gpu_mem_std,gpu_mem_min,gpu_mem_max,gpu_mem_median,faithfulness_std,faithfulness_min,faithfulness_max,faithfulness_median
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,concise,recursive,1000,100,113,100,0.7134553157699429,0.0,0.06,639.0,0.8433333333333333,,,,,806.7883046259994,0.67,0.67,0.37166666666666665,0.82,0.7629745142838842,0.82,0.82,0.7629745142838842,0.82,0.6449587660309161,0.47378267106631694,0.3738110363038259,0.6045794319389028,0.08444505848374219,0.5850022918758525,0.8523429870605469,0.8606737750768662,0.8564615728168167,0.1750202493485821,0.4441088249996028,1.421694476999619,0.6642135119996055,0.0,0,0,0.0,0.42211588240886905,0.0,3.0,0.0,0.0,639.0,639.0,639.0,0.3520183905000996,0.0,1.0,1.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_detailed_mmr-l0.5,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,detailed,recursive,1000,100,113,100,1.0676096680699538,0.0,0.03,639.0,0.8651846405228758,,,,,1224.9637975029991,0.67,0.67,0.37166666666666665,0.82,0.7629745142838842,0.82,0.82,0.7629745142838842,0.82,0.6449587660309161,0.47378267106631694,0.15485828197938362,0.21278292131417934,0.03085613739377874,0.3957469640834354,0.899817556142807,0.922566881775856,0.9110131423318742,0.36521326296129375,0.5410940060000939,2.3491989259991897,0.9571914475000085,0.0,0,0,0.0,0.3,0.0,3.0,0.0,0.0,639.0,639.0,639.0,0.2909096348195573,0.0,1.0,1.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,concise,recursive,1000,200,113,100,0.7109016977800183,0.0,0.69,639.0,0.84,,,,,826.3601122979999,0.7,0.7,0.38666666666666666,0.82,0.7718160709592459,0.82,0.82,0.7718160709592459,0.82,0.6445541877936605,0.47378267106631694,0.3673571472423422,0.5921429398529391,0.06946339467375748,0.5828179751210237,0.8519222259521484,0.8604165291786194,0.8561219613851234,0.1495292358131645,0.44098572700022487,1.275771794999855,0.6660995459997139,0.0,0,0,0.0,4.263291752350121,0.0,42.0,0.0,0.0,639.0,639.0,639.0,0.3615343285319815,0.0,1.0,1.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_detailed_mmr-l0.5,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,detailed,recursive,1000,200,113,100,1.1488764300299044,0.0,0.27,641.0,0.8627005135387488,,,,,1167.1050760320013,0.7,0.7,0.38666666666666666,0.82,0.7718160709592459,0.82,0.82,0.7718160709592459,0.82,0.6445541877936605,0.47378267106631694,0.15618022167883092,0.21172324436444243,0.029540851010970814,0.3971563884560096,0.8810327345132828,0.9031659030914306,0.8919265772060777,0.497948251353319,0.5577099559995986,3.012363626001388,0.9604089064996515,0.0,0,0,0.0,1.8632815626786472,0.0,18.0,0.0,0.0,641.0,641.0,641.0,0.2893259959857947,0.0,1.0,1.0
